#,Series,Episode,Name,Original Air Date,Watched,Drift Audit
313,Supergirl,S03E08,"Crisis on Earth-X, Part 1","November 27, 2017",TRUE,
314,Arrow,S06E08,"Crisis on Earth-X, Part 2","November 27, 2017",TRUE,
315,The Flash,S04E08,"Crisis on Earth-X, Part 3","November 28, 2017",TRUE,
316,DC's Legends of Tomorrow,S03E08,"Crisis on Earth-X, Part 4","November 28, 2017",TRUE,
