Series,,Episode,Title,Star date,Air date,Watched?,Dridt Audit
,TAS,1-9,Once Upon a Planet,5591.2,11/3/1973,FALSE,
,TAS,1-10,Mudd's Passion,4978.5,11/10/1973,FALSE,
,TAS,1-11,The Terratin Incident,5577.3,11/17/1973,FALSE,
,TAS,1-12,The Time Trap,5267.2,11/24/1973,FALSE,
,TAS,1-13,The Ambergris Element,5499.9,12/1/1973,FALSE,
,TAS,1-14,The Slaver Weapon,4187.3,12/15/1973,FALSE,
,TAS,1-15,The Eye of the Beholder,5501.2,1/5/1974,FALSE,
,TAS,1-16,The Jihad,5683.1,1/12/1974,FALSE,
,TAS,2-17,The Pirates of Orion,6334.1,9/7/1974,FALSE,
,TAS,2-18,Bem,7403.6,9/17/1974,FALSE,
,TAS,2-19,The Practical Joker,3183.3,9/21/1974,FALSE,
,TAS,2-20,Albatross,5275.6,9/28/1974,FALSE,
,TAS,2-21,How Sharper Than a Serpent's Tooth,6063.4,10/5/1974,FALSE,
,TAS,2-22,The Counter-Clock Incident,6770.3,10/12/1974,FALSE,
,Movie,,The Motion Picture,Unknown,12/7/1979,TRUE,
,Movie,,The Wrath of Khan,Unknown,6/4/1982,TRUE,
,Movie,,The Search for Spock,Unknown,6/1/1984,TRUE,
,Movie,,The Voyage Home,Unknown,11/26/1986,TRUE,
,TNG,1-1,Encounter at Farpoint,41153.7,9/28/1987,TRUE,
,TNG,1-2,Encounter at Farpoint,41153.7,9/28/1987,TRUE,
,TNG,1-3,The Naked Now,41209.2,10/5/1987,TRUE,
,TNG,1-4,Code of Honor,41235.25,10/12/1987,TRUE,
,TNG,1-5,The Last Outpost,41386.4,10/19/1987,TRUE,
,TNG,1-6,Where No One Has Gone Before,41263.1,10/26/1987,TRUE,
,TNG,1-7,Lonely Among Us,41249.3,11/2/1987,TRUE,
,TNG,1-8,Justice,41255.6,11/9/1987,TRUE,
,TNG,1-9,The Battle,41723.9,11/16/1987,TRUE,
,TNG,1-10,Hide and Q,41590.5,11/23/1987,TRUE,
,TNG,1-11,Haven,41294.5,11/30/1987,TRUE,
,TNG,1-12,The Big Goodbye,41997.7,1/11/1988,TRUE,
,TNG,1-13,Datalore,41242.4,1/18/1988,TRUE,
,TNG,1-14,Angel One,41636.9,1/25/1988,TRUE,
,TNG,1-15,11001001,41365.9,2/1/1988,TRUE,
,TNG,1-16,Too Short a Season,41309.5,2/8/1988,TRUE,
,TNG,1-17,When the Bough Breaks,41509.1,2/15/1988,TRUE,
,TNG,1-18,Home Soil,41463.9,2/22/1988,TRUE,
,TNG,1-19,Coming of Age,41416.2,3/14/1988,TRUE,
,TNG,1-20,Heart of Glory,41503.7,3/21/1988,TRUE,
,TNG,1-21,The Arsenal of Freedom,41798.2,4/11/1988,TRUE,
,TNG,1-22,Symbiosis,Unknown,4/18/1988,TRUE,
,TNG,1-23,Skin of Evil,41601.3,4/25/1988,TRUE,
,TNG,1-24,We'll Always Have Paris,41697.9,5/2/1988,TRUE,
,TNG,1-25,Conspiracy,41775.5,5/9/1988,TRUE,
,TNG,1-26,The Neutral Zone,41986,5/16/1988,TRUE,
,TOS,0-0,The Cage,Unknown,10/1/1988,TRUE,
,TNG,2-1,The Child,42073.1,11/21/1988,TRUE,
,TNG,2-2,Where Silence Has Lease,42193.6,11/28/1988,TRUE,
,TNG,2-3,"Elementary, Dear Data",42286.3,12/5/1988,TRUE,
,TNG,2-4,The Outrageous Okona,42402.7,12/12/1988,TRUE,
,TNG,2-5,Loud as a Whisper,42477.2,1/9/1989,TRUE,
,TNG,2-6,The Schizoid Man,42437.5,1/23/1989,TRUE,
,TNG,2-7,Unnatural Selection,42494.8,1/30/1989,TRUE,
,TNG,2-8,A Matter of Honor,42506.5,2/6/1989,TRUE,
,TNG,2-9,The Measure of a Man,42523.7,2/13/1989,TRUE,
,TNG,2-10,The Dauphin,42568.8,2/20/1989,TRUE,
,TNG,2-11,Contagion,42609.1,3/20/1989,TRUE,
,TNG,2-12,The Royale,42625.4,3/27/1989,TRUE,
,TNG,2-13,Time Squared,42679.2,4/3/1989,TRUE,
,TNG,2-14,The Icarus Factor,42686.4,4/24/1989,TRUE,
,TNG,2-15,Pen Pals,42695.3,5/1/1989,TRUE,
,TNG,2-16,Q Who,42761.3,5/8/1989,TRUE,
,TNG,2-17,Samaritan Snare,42779.1,5/15/1989,TRUE,
,TNG,2-18,Up the Long Ladder,42823.2,5/22/1989,TRUE,
,Movie,,The Final Frontier,Unknown,6/9/1989,TRUE,
,TNG,2-19,Manhunt,42859.2,6/19/1989,TRUE,
,TNG,2-20,The Emissary,42901.3,6/26/1989,TRUE,
,TNG,2-21,Peak Performance,42923.4,7/10/1989,TRUE,
,TNG,2-22,Shades of Gray,42976.1,7/17/1989,TRUE,
,TNG,3-1,Evolution,43125.8,9/25/1989,TRUE,
,TNG,3-2,The Ensigns of Command,43133.3,10/2/1989,TRUE,
,TNG,3-3,The Survivors,43152.4,10/9/1989,TRUE,
,TNG,3-4,Who Watches the Watchers,43173.5,10/16/1989,TRUE,
,TNG,3-5,The Bonding,43198.7,10/23/1989,TRUE,
,TNG,3-6,Booby Trap,43205.6,10/30/1989,TRUE,
,TNG,3-7,The Enemy,43349.2,11/6/1989,TRUE,
,TNG,3-8,The Price,43385.6,11/13/1989,TRUE,
,TNG,3-9,The Vengeance Factor,43421.9,11/20/1989,TRUE,
,TNG,3-10,The Defector,43462.5,1/1/1990,TRUE,
,TNG,3-11,The Hunted,43489.2,1/8/1990,TRUE,
,TNG,3-12,The High Ground,43510.7,1/29/1990,TRUE,
,TNG,3-13,Déjà Q,43539.1,2/5/1990,TRUE,
,TNG,3-14,A Matter of Perspective,43610.4,2/12/1990,TRUE,
,TNG,3-15,Yesterday's Enterprise,43625.2,2/19/1990,TRUE,
,TNG,3-16,The Offspring,43657,3/12/1990,TRUE,
,TNG,3-17,Sins of the Father,43685.2,3/19/1990,TRUE,
,TNG,3-18,Allegiance,43714.1,3/26/1990,TRUE,
,TNG,3-19,Captain's Holiday,43745.2,4/2/1990,TRUE,
,TNG,3-20,Tin Man,43779.3,4/23/1990,TRUE,
,TNG,3-21,Hollow Pursuits,43807.4,4/30/1990,TRUE,
,TNG,3-22,The Most Toys,43872.2,5/7/1990,TRUE,
,TNG,3-23,Sarek,43917.4,5/14/1990,TRUE,
,TNG,3-24,Ménage à Troi,43930.7,5/28/1990,TRUE,
,TNG,3-25,Transfigurations,43957.2,6/4/1990,TRUE,
,TNG,3-26,The Best of Both Worlds: Part One,43989.1,6/18/1990,TRUE,
,TNG,4-1,The Best of Both Worlds: Part Two,44001.4,9/24/1990,TRUE,
,TNG,4-2,Family,44012.3,10/1/1990,TRUE,
,TNG,4-3,Brothers,44085.7,10/8/1990,TRUE,
,TNG,4-4,Suddenly Human,44143.7,10/15/1990,TRUE,
,TNG,4-5,Remember Me,44161.2,10/22/1990,TRUE,
,TNG,4-6,Legacy,44215.2,10/29/1990,TRUE,
,TNG,4-7,Reunion,44246.3,11/5/1990,TRUE,
,TNG,4-8,Future Imperfect,44286.5,11/12/1990,TRUE,
,TNG,4-9,Final Mission,44307.3,11/19/1990,TRUE,
,TNG,4-10,The Loss,44356.9,12/31/1990,TRUE,
,TNG,4-11,Data's Day,44390.1,1/7/1991,TRUE,
,TNG,4-12,The Wounded,44429.6,1/28/1991,TRUE,
,TNG,4-13,Devil's Due,44474.5,2/4/1991,TRUE,
,TNG,4-14,Clues,44502.7,2/11/1991,TRUE,
,TNG,4-15,First Contact,Unknown,2/18/1991,TRUE,
,TNG,4-16,Galaxy's Child,44614.6,3/11/1991,TRUE,
,TNG,4-17,Night Terrors,44631.2,3/18/1991,TRUE,
,TNG,4-18,Identity Crisis,44664.5,3/25/1991,TRUE,
,TNG,4-19,The Nth Degree,44704.2,4/1/1991,TRUE,
,TNG,4-20,Qpid,44741.9,4/22/1991,TRUE,
,TNG,4-21,The Drumhead,44769.2,4/29/1991,TRUE,
,TNG,4-22,Half a Life,44805.3,5/6/1991,TRUE,
,TNG,4-23,The Host,44821.3,5/13/1991,TRUE,
,TNG,4-24,The Mind's Eye,44885.5,5/27/1991,TRUE,
,TNG,4-25,In Theory,44932.3,6/3/1991,TRUE,
